province,year,subject_type,major,min_score,min_rank,batch,source_file,source_url
河北,2024,物理,无机非金属材料工程,580,28695,本科批,hebut_hebei.xlsx,
河北,2025,物理,无机非金属材料工程,600,27073,本科批,hebut_hebei.xlsx,
河北,2023,物理,化学工程与工艺,580,26321,本科批,hebut_hebei.xlsx,
河北,2024,物理,化学工程与工艺,584,25721,本科批,hebut_hebei.xlsx,
河北,2025,物理,化学工程与工艺,599,27821,本科批,hebut_hebei.xlsx,
河北,2023,物理,法语,585,23353,本科批,hebut_hebei.xlsx,
河北,2024,物理,法语,582,27183,本科批,hebut_hebei.xlsx,
河北,2025,物理,法语,598,28597,本科批,hebut_hebei.xlsx,
河北,2023,物理,生物工程,580,26321,本科批,hebut_hebei.xlsx,
河北,2024,物理,生物工程,582,27183,本科批,hebut_hebei.xlsx,
河北,2025,物理,生物工程,598,28597,本科批,hebut_hebei.xlsx,
河北,2023,物理,工业设计,578,27571,本科批,hebut_hebei.xlsx,
河北,2024,物理,工业设计,578,30257,本科批,hebut_hebei.xlsx,
河北,2025,物理,工业设计,597,29374,本科批,hebut_hebei.xlsx,
河北,2023,物理,公共事业管理,,,本科批,hebut_hebei.xlsx,
河北,2024,物理,公共事业管理,,,本科批,hebut_hebei.xlsx,
河北,2025,物理,公共事业管理,597,29374,本科批,hebut_hebei.xlsx,
河北,2023,物理,应用化学,580,26321,本科批,hebut_hebei.xlsx,
河北,2024,物理,应用化学,583,26440,本科批,hebut_hebei.xlsx,
河北,2025,物理,应用化学,596,30194,本科批,hebut_hebei.xlsx,
河北,2023,物理,工商管理,582,25093,本科批,hebut_hebei.xlsx,
河北,2024,物理,工商管理,580,28695,本科批,hebut_hebei.xlsx,
河北,2025,物理,工商管理,595,30996,本科批,hebut_hebei.xlsx,
河北,2023,物理,环境工程,572,31495,本科批,hebut_hebei.xlsx,
河北,2024,物理,环境工程,576,31850,本科批,hebut_hebei.xlsx,
河北,2025,物理,环境工程,595,30996,本科批,hebut_hebei.xlsx,
河北,2023,物理,日语,588,21691,本科批,hebut_hebei.xlsx,
河北,2024,物理,日语,569,37617,本科批,hebut_hebei.xlsx,
河北,2025,物理,日语,595,30996,本科批,hebut_hebei.xlsx,
河北,2023,物理,智能建造,589,21159,本科批,hebut_hebei.xlsx,
河北,2024,物理,智能建造,582,27183,本科批,hebut_hebei.xlsx,
河北,2025,物理,智能建造,594,31807,本科批,hebut_hebei.xlsx,
河北,2023,物理,建筑环境与能源应用工程,576,28891,本科批,hebut_hebei.xlsx,
河北,2024,物理,建筑环境与能源应用工程,576,31850,本科批,hebut_hebei.xlsx,
河北,2025,物理,建筑环境与能源应用工程,593,32692,本科批,hebut_hebei.xlsx,
河北,2023,物理,海洋技术,573,30842,本科批,hebut_hebei.xlsx,
河北,2024,物理,海洋技术,574,33476,本科批,hebut_hebei.xlsx,
河北,2025,物理,海洋技术,593,32692,本科批,hebut_hebei.xlsx,
河北,2023,物理,土木工程,575,29516,本科批,hebut_hebei.xlsx,
河北,2024,物理,土木工程,571,35924,本科批,hebut_hebei.xlsx,
河北,2025,物理,土木工程,593,32692,本科批,hebut_hebei.xlsx,
河北,2023,物理,工程管理,579,26949,本科批,hebut_hebei.xlsx,
河北,2024,物理,工程管理,573,34252,本科批,hebut_hebei.xlsx,
